service_type,phone_brand,is_warranty_case,parts_availability,current_workload,technician_availability,actual_duration_minutes
Battery Replacement,Samsung,False,Available,2,0,29.5
Screen Replacement,Apple,True,Available,0,4,40.4
Software Issue,Other,False,Order Required,0,1,107.3
Battery Replacement,Oppo,True,Order Required,9,2,208.0
Water Damage Diagnostic,Apple,False,Order Required,9,2,125.7
Battery Replacement,Realme,False,Available,7,2,29.4
Camera Repair,Apple,False,Available,11,1,55.6
Software Issue,Vivo,False,Order Required,3,0,92.9
Speaker/Mic Repair,Realme,False,Available,14,3,34.3
Water Damage Diagnostic,Oppo,False,Unknown,2,4,43.2
Charging Port Repair,Xiaomi,False,Available,1,3,8
Screen Replacement,Apple,False,Available,4,2,29.8
Warranty Diagnostic,Samsung,False,Order Required,4,4,82.3
Software Issue,Xiaomi,False,Available,12,4,20.1
Warranty Diagnostic,Samsung,True,Available,13,2,62.5
Battery Replacement,Xiaomi,True,Available,8,1,44.6
Software Issue,Realme,False,Available,10,2,30.8
Speaker/Mic Repair,Samsung,False,Available,3,0,29.3
Software Issue,Apple,False,Order Required,1,4,114.3
Warranty Diagnostic,Realme,False,Order Required,3,0,177.5
Warranty Diagnostic,Samsung,False,Unknown,1,0,49.0
Warranty Diagnostic,Xiaomi,False,Available,3,0,31.8
Battery Replacement,Samsung,False,Available,0,0,23.5
Software Issue,Oppo,False,Available,0,3,12.3
Warranty Diagnostic,OnePlus,False,Unknown,12,4,47.3
Screen Replacement,Vivo,True,Available,8,4,40.2
Charging Port Repair,Apple,False,Order Required,3,3,112.8
Water Damage Diagnostic,Vivo,False,Available,11,2,44.4
Camera Repair,Other,False,Order Required,1,0,276.7
Camera Repair,Xiaomi,False,Order Required,14,1,264.1
Camera Repair,Samsung,False,Available,14,0,67.1
Charging Port Repair,OnePlus,True,Available,5,1,46.9
Camera Repair,Samsung,True,Available,4,0,48.3
Water Damage Diagnostic,Samsung,True,Unknown,11,1,115.8
Charging Port Repair,Samsung,False,Order Required,12,0,169.5
Water Damage Diagnostic,Xiaomi,False,Available,2,1,63.4
Speaker/Mic Repair,Oppo,False,Order Required,12,1,126.1
Software Issue,Realme,False,Available,4,1,8
Water Damage Diagnostic,Vivo,True,Available,12,2,81.5
Screen Replacement,Apple,False,Available,9,2,32.4
Speaker/Mic Repair,Vivo,False,Unknown,1,3,20.3
Software Issue,Vivo,False,Unknown,14,2,52.8
Camera Repair,OnePlus,False,Available,11,2,41.9
Charging Port Repair,OnePlus,False,Order Required,4,2,186.2
Speaker/Mic Repair,Other,False,Order Required,8,3,217.5
Speaker/Mic Repair,Apple,False,Order Required,10,2,91.7
Software Issue,Other,False,Order Required,7,3,205.3
Charging Port Repair,Samsung,False,Order Required,14,0,266.1
Warranty Diagnostic,Samsung,False,Unknown,1,3,25.1
Warranty Diagnostic,Oppo,False,Available,14,1,44.2
Camera Repair,Realme,False,Available,12,4,28.8
Software Issue,OnePlus,False,Order Required,1,1,105.8
Software Issue,Apple,False,Available,7,3,8
Screen Replacement,Oppo,False,Unknown,4,3,61.9
Software Issue,Other,True,Available,0,3,20.6
Charging Port Repair,Samsung,False,Available,10,0,45.8
Warranty Diagnostic,Xiaomi,True,Available,3,3,25.2
Camera Repair,Apple,False,Order Required,0,2,241.0
Screen Replacement,Samsung,False,Available,0,4,19.7
Software Issue,Other,False,Order Required,2,4,76.6
Charging Port Repair,OnePlus,True,Available,4,4,27.9
Software Issue,Apple,False,Available,10,4,20.0
Screen Replacement,Vivo,False,Order Required,1,4,153.9
Speaker/Mic Repair,Other,False,Available,11,4,39.3
Warranty Diagnostic,Other,False,Order Required,4,2,103.0
Warranty Diagnostic,Oppo,False,Available,5,1,21.4
Camera Repair,Vivo,True,Available,14,2,59.2
Software Issue,Other,False,Available,12,0,39.0
Software Issue,OnePlus,False,Available,8,4,8
Warranty Diagnostic,OnePlus,False,Available,11,1,31.3
Charging Port Repair,Realme,True,Available,11,4,53.5
Software Issue,Vivo,True,Available,8,1,39.9
Charging Port Repair,Other,True,Available,4,3,43.5
Battery Replacement,Apple,False,Available,10,0,45.9
Camera Repair,Apple,False,Available,12,3,44.8
Warranty Diagnostic,Other,True,Available,6,2,58.8
Battery Replacement,Realme,False,Available,1,1,21.8
Warranty Diagnostic,OnePlus,True,Available,4,3,35.3
Software Issue,Oppo,True,Available,2,2,18.0
Camera Repair,Other,True,Order Required,11,3,216.8
Screen Replacement,Oppo,False,Available,0,0,43.5
Screen Replacement,OnePlus,False,Order Required,2,3,129.9
Water Damage Diagnostic,Other,False,Available,6,2,58.5
Warranty Diagnostic,OnePlus,False,Available,12,4,35.0
Camera Repair,Vivo,True,Order Required,13,4,290.2
Warranty Diagnostic,Other,False,Available,8,1,40.4
Warranty Diagnostic,Apple,True,Available,12,1,42.1
Battery Replacement,Other,False,Available,2,3,19.4
Camera Repair,Oppo,False,Unknown,3,3,37.4
Battery Replacement,OnePlus,False,Order Required,5,4,209.8
Warranty Diagnostic,Xiaomi,False,Available,5,4,38.4
Software Issue,Oppo,True,Order Required,0,2,218.4
Charging Port Repair,Other,False,Available,9,2,29.4
Warranty Diagnostic,Samsung,False,Available,10,1,33.9
Camera Repair,Vivo,False,Available,1,2,19.1
Warranty Diagnostic,Samsung,False,Available,10,2,44.0
Water Damage Diagnostic,Apple,False,Order Required,1,3,101.5
Speaker/Mic Repair,Vivo,False,Available,6,4,27.2
Charging Port Repair,Apple,False,Available,10,1,41.6
Warranty Diagnostic,OnePlus,False,Order Required,7,2,183.6
Speaker/Mic Repair,OnePlus,False,Available,4,3,18.0
Software Issue,Oppo,False,Available,11,2,27.3
Water Damage Diagnostic,OnePlus,True,Order Required,12,0,303.8
Speaker/Mic Repair,Realme,False,Available,10,1,33.4
Screen Replacement,OnePlus,False,Available,5,1,38.9
Charging Port Repair,Vivo,False,Unknown,13,1,56.0
Camera Repair,Vivo,False,Available,1,1,23.7
Water Damage Diagnostic,Vivo,True,Available,4,4,35.6
Camera Repair,Oppo,False,Unknown,1,1,51.6
Battery Replacement,Other,False,Available,6,0,35.6
Camera Repair,Other,True,Available,8,1,56.4
Charging Port Repair,Oppo,False,Order Required,9,3,213.9
Software Issue,Other,False,Available,5,0,36.8
Screen Replacement,Oppo,True,Unknown,13,3,78.9
Screen Replacement,Vivo,True,Available,9,1,55.5
Speaker/Mic Repair,Xiaomi,False,Available,4,1,42.7
Charging Port Repair,Apple,False,Available,0,2,17.8
Screen Replacement,Xiaomi,False,Available,11,0,60.5
Battery Replacement,Other,False,Unknown,0,4,29.1
Water Damage Diagnostic,Apple,False,Unknown,1,0,58.9
Speaker/Mic Repair,Oppo,False,Available,7,4,23.0
Software Issue,Oppo,False,Available,5,3,8
Speaker/Mic Repair,Oppo,False,Available,2,3,16.2
Speaker/Mic Repair,Xiaomi,False,Available,8,4,27.8
Speaker/Mic Repair,Oppo,False,Order Required,4,4,175.5
Battery Replacement,Vivo,False,Available,12,2,41.8
Screen Replacement,OnePlus,True,Available,12,2,75.2
Battery Replacement,Xiaomi,False,Unknown,1,4,33.8
